case,satellite_gain_dbi,user_gain_dbi,user_index,satellite_index,legacy_formula_rate_bps,standard_friis_rate_bps,legacy_formula_snr_db,standard_friis_snr_db
sat60_user50,60.0,50.0,74,1,3077181.137805883,15050143.591047235,15.312781769238402,75.50907754377549
sat60_user50,60.0,50.0,75,0,3018923.7686504815,14991995.727002023,15.011589047005849,75.21734001426516
sat60_user50,60.0,50.0,75,1,3752227.329659958,15734730.92756238,18.768258035562685,78.94376632624659
sat60_user50,60.0,50.0,76,0,2133989.4160034205,14050667.411062106,10.320862843721109,70.49453877624873
sat60_user50,60.0,50.0,76,1,565053.878311795,11925355.606190529,-0.3580382284931074,59.83149125895312
sat60_user50,60.0,50.0,77,0,4487731.495384919,16484016.653877823,22.4912940495229,82.70305767405733
sat60_user50,60.0,50.0,77,1,3342266.158749816,15318201.706069853,16.676337611054628,76.85396979635358
sat60_user50,60.0,50.0,78,0,2650906.1717664585,14604738.674291546,13.09200075836938,73.2744067922573
sat60_user50,60.0,50.0,78,1,4439808.450841623,16429295.796538718,22.249462928661757,82.42851401507775
sat60_user50,60.0,50.0,79,0,3861439.612949292,15844593.9139348,19.323024776014943,79.49496723803712
sat60_user50,60.0,50.0,79,1,4081393.668048842,16070381.006268842,20.437944819877302,80.62777870634295
sat60_user50,60.0,50.0,80,0,4301839.568499666,16289108.050907975,21.552777181015557,81.72516873639024
sat60_user50,60.0,50.0,80,1,3544029.5022185165,15524478.949338684,17.70798512359553,77.88889710946857
sat60_user50,60.0,50.0,81,0,3317176.4596035755,15293170.902401071,16.547711992294747,76.72838608172637
sat60_user50,60.0,50.0,81,1,3879391.588195005,15862941.03173776,19.41413447355651,79.5870177856048
sat60_user50,60.0,50.0,82,0,4231544.215586826,16218816.754052378,21.197523351385996,81.37250558745988
sat60_user50,60.0,50.0,82,1,3634242.157843131,15620634.414903104,18.16787701188004,78.37132510659144
sat60_user50,60.0,50.0,83,0,4322073.500468154,16311807.870764261,21.654995902397765,81.83905751502766
sat60_user50,60.0,50.0,83,1,3964411.697466726,15950770.978562256,19.845341613787046,80.02767526540896
sat60_user50,60.0,50.0,84,0,3127685.6402081363,15097700.130950123,15.573407973396892,75.74767663365107
sat60_user50,60.0,50.0,84,1,3673843.584549123,15659804.534605112,18.369524276786247,78.56784812545472
sat60_user50,60.0,50.0,85,0,2825034.613331607,14791024.358759133,14.004290590946567,74.20903314494728
sat60_user50,60.0,50.0,85,1,4218036.002145647,16206196.757773276,21.129231924819315,81.30918896324195
sat60_user50,60.0,50.0,86,0,2616710.1162018557,14569478.711023444,12.911837958154537,73.09750167393359
sat60_user50,60.0,50.0,86,1,4716158.67984166,16706306.261113055,23.643023466050934,83.81832167103855
sat60_user50,60.0,50.0,87,0,3902630.3602798916,15890509.708138574,19.53204362806217,79.72533442939195
sat60_user50,60.0,50.0,87,1,3587045.7484858218,15566957.325401163,17.927372329024685,78.1020182022152
sat60_user50,60.0,50.0,88,0,1051273.8802554982,12742523.22881661,3.744805963272001,63.93136011548049
sat60_user50,60.0,50.0,88,1,2600392.036757054,14549514.838871468,12.825738264838959,72.99733959651225
sat60_user50,60.0,50.0,89,0,4548594.028991525,16545511.922909029,22.798312703695103,83.01158968515264
sat60_user50,60.0,50.0,89,1,4049314.2804869125,16035782.16821731,20.275514545639254,80.45419057033308
sat60_user50,60.0,50.0,90,0,3637896.46997975,15621343.93168451,18.186490267346414,78.37488487053706
sat60_user50,60.0,50.0,90,1,2954633.5603982178,14921174.491884869,14.678461305544651,74.86201806812407
sat60_user50,60.0,50.0,91,0,2945392.633839739,14914966.592036242,14.6305104871536,74.83087199936179
sat60_user50,60.0,50.0,91,1,2164797.0962641486,14087013.669405147,10.489510721320137,70.67689402537484
sat60_user50,60.0,50.0,92,0,4311943.580770694,16299123.734395113,21.60382316602338,81.77541908933782
sat60_user50,60.0,50.0,92,1,3161439.1786771216,15134811.005070366,15.74735519790372,75.93386807642807
sat60_user50,60.0,50.0,93,0,2967045.410997512,14935361.382120708,14.742838538976809,74.9331960621983
sat60_user50,60.0,50.0,93,1,3903684.76611067,15887677.674635414,19.537392641397744,79.71112564535406
sat60_user50,60.0,50.0,94,0,4173232.352100343,16162139.035000047,20.902665345394603,81.08814402664129
sat60_user50,60.0,50.0,94,1,4167849.2780308435,16154554.225673392,20.875437484042617,81.05008977436519
sat60_user50,60.0,50.0,95,0,3847403.8425229453,15831291.428241031,19.251775204052606,79.42822645043636
sat60_user50,60.0,50.0,95,1,4644004.322544143,16640052.298528923,23.279381010819257,83.48591450178078
sat60_user50,60.0,50.0,96,0,1200488.0300985829,12949558.821727555,4.7744769449325215,64.97009254973553
sat60_user50,60.0,50.0,96,1,3501111.8491046955,15480025.24424245,17.488916469831775,77.66586546154132
sat60_user50,60.0,50.0,97,0,3411968.363931181,15389250.235817065,17.033261947687638,77.21043211344433
sat60_user50,60.0,50.0,97,1,3744104.5703391368,15727221.013805483,18.726961044491446,78.90608783733603
sat60_user50,60.0,50.0,98,0,2206422.2616024464,14132366.80507658,10.716529441532634,70.90443828158602
sat60_user50,60.0,50.0,98,1,3636596.8430458438,15619477.349314544,18.179870748618466,78.36551991568848
sat60_user50,60.0,50.0,99,0,1662522.2417094822,13523307.853421273,7.653105165821542,67.84868769525379
sat60_user50,60.0,50.0,99,1,5067823.278551653,17060507.333958488,25.413645676645405,85.59540746747328
sat60_user50,60.0,50.0,100,0,4420624.908483826,16413870.526474547,22.152636083355667,82.35112286495581
sat60_user50,60.0,50.0,100,1,3417388.3036614414,15394830.613413677,17.060991399894295,77.23842979803666
sat60_user50,60.0,50.0,101,0,3148926.5074173366,15119774.688673567,15.682893205169728,75.85842837015838
sat60_user50,60.0,50.0,101,1,4521048.674130707,16515602.031765932,22.65937577529825,82.86152677770416
sat60_user50,60.0,50.0,102,0,4853978.720955378,16850020.722599,24.33725152204609,84.53936106909583
sat60_user50,60.0,50.0,102,1,3384196.104975484,15361632.524177095,16.891119308428046,77.0718694505141
sat60_user50,60.0,50.0,103,0,4422948.685045393,16411098.367383307,22.16436578307811,82.33721448088781
sat60_user50,60.0,50.0,103,1,2411070.3137461264,14353917.263249423,11.820131838553982,72.015993918938
